Rainfall_mm,Elevation_m,Distance_to_River_km,Land_Cover_Type,Population_Density,Flooded
99.27,715.35,3.65,Urban,947.0,0
87.66,376.39,0.01,Forest,70.0,0
99.93,386.01,0.55,Forest,954.0,0
156.62,506.06,3.75,Urban,509.0,0
133.15,347.76,3.29,Forest,1064.0,0
98.81,248.19,10.15,Barren,1932.0,0
140.53,260.73,4.29,Urban,576.0,0
123.88,285.68,9.03,Urban,902.0,0
158.75,292.56,3.64,Urban,2969.0,1
91.92,445.53,1.06,Urban,1025.0,1
106.89,310.39,0.33,Barren,819.0,0
104.32,446.53,4.57,Forest,411.0,0
61.46,283.86,3.1,Forest,1486.0,0
131.84,315.73,0.15,Agriculture,349.0,0
130.44,-99.64,1.34,Urban,1990.0,1
120.2,483.27,9.43,Forest,1340.0,0
110.62,369.3,2.08,Forest,525.0,0
63.39,499.6,1.7,Agriculture,424.0,0
103.17,-279.25,1.84,Barren,433.0,0
106.29,717.67,0.7,Agriculture,133.0,0
87.91,272.08,1.38,Forest,1176.0,0
113.55,521.64,1.39,Agriculture,83.0,0
136.16,92.02,0.16,Urban,779.0,1
195.45,422.55,4.38,Urban,740.0,0
126.98,89.32,1.62,Urban,640.0,1
130.3,175.25,5.18,Forest,1170.0,0
117.02,682.81,5.7,Agriculture,526.0,0
43.25,261.86,0.71,Agriculture,956.0,0
118.94,343.49,3.21,Barren,1989.0,0
122.41,474.01,1.92,Agriculture,1272.0,0
218.53,399.14,6.36,Agriculture,594.0,0
112.31,330.08,0.73,Urban,838.0,0
132.06,372.99,3.4,Urban,640.0,0
118.61,780.68,2.81,Agriculture,732.0,0
73.25,288.48,1.05,Forest,978.0,0
165.71,340.22,0.44,Agriculture,220.0,0
150.08,510.13,3.16,Urban,168.0,0
151.64,521.11,4.03,Urban,380.0,0
83.62,537.41,1.14,Forest,1211.0,0
176.11,427.75,3.11,Urban,1332.0,1
63.93,71.4,1.51,Urban,1474.0,1
143.47,626.69,3.75,Agriculture,394.0,0
207.62,70.73,0.67,Urban,898.0,1
80.38,360.53,6.63,Agriculture,610.0,0
97.35,149.14,1.02,Urban,756.0,1
123.99,287.17,1.38,Urban,601.0,0
99.86,365.75,0.18,Forest,1020.0,0
57.97,364.27,0.35,Agriculture,471.0,0
122.74,384.38,2.18,Forest,1842.0,0
77.51,622.74,0.93,Agriculture,1853.0,0
138.94,390.71,5.41,Urban,1184.0,0
83.22,251.17,0.04,Agriculture,1697.0,0
182.0,492.82,1.43,Urban,211.0,1
88.67,537.89,1.23,Agriculture,1915.0,0
107.12,54.48,0.06,Agriculture,1103.0,1
152.54,419.48,0.4,Barren,496.0,0
70.77,440.23,1.6,Forest,454.0,0
129.1,240.49,2.04,Urban,2363.0,0
172.29,575.14,1.55,Urban,1490.0,1
55.7,269.99,2.27,Agriculture,740.0,0
127.39,325.12,2.71,Agriculture,208.0,0
130.4,265.39,0.03,Agriculture,1981.0,0
151.27,303.12,1.87,Urban,303.0,1
70.52,80.74,9.93,Forest,619.0,0
67.18,11.99,2.2,Urban,739.0,0
140.88,618.9,3.4,Barren,448.0,0
131.88,130.61,1.12,Agriculture,713.0,0
130.02,101.72,4.46,Barren,829.0,0
133.86,-130.68,4.45,Urban,702.0,0
92.8,172.21,2.21,Agriculture,1057.0,0
129.29,35.38,11.19,Agriculture,2421.0,0
131.72,628.4,0.4,Forest,220.0,0
91.43,501.96,0.05,Agriculture,939.0,0
194.63,162.37,4.41,Barren,307.0,0
138.95,750.49,4.94,Agriculture,197.0,0
72.35,496.35,0.38,Agriculture,1609.0,0
146.26,235.03,0.93,Urban,1000.0,1
81.01,-199.88,0.05,Urban,184.0,1
151.48,758.19,1.04,Barren,713.0,0
166.34,22.09,4.45,Urban,381.0,1
87.17,-29.08,2.19,Agriculture,733.0,0
158.54,504.51,1.28,Agriculture,1365.0,1
136.51,787.95,1.39,Agriculture,1269.0,0
152.88,576.85,0.0,Barren,604.0,0
195.87,412.78,1.07,Forest,1662.0,1
110.18,418.95,3.12,Forest,2095.0,0
89.85,470.68,10.97,Urban,1381.0,0
84.42,451.79,5.63,Forest,523.0,0
87.37,356.24,0.07,Urban,752.0,0
116.92,320.84,6.86,Forest,2371.0,0
133.65,287.48,4.59,Agriculture,642.0,0
131.07,149.21,4.55,Barren,1272.0,0
153.09,243.86,1.84,Urban,442.0,1
120.52,-38.59,1.52,Forest,1670.0,1
178.14,280.33,1.08,Barren,398.0,0
109.41,102.28,0.2,Urban,778.0,1
228.81,79.28,0.78,Urban,1240.0,1
145.03,335.98,0.85,Urban,2697.0,1
85.71,578.4,1.99,Agriculture,987.0,0
77.16,483.66,4.13,Urban,675.0,0
139.3,-14.1,1.93,Barren,635.0,0
111.06,102.07,0.18,Forest,1620.0,1
148.56,488.15,9.5,Agriculture,1169.0,0
138.93,103.5,8.58,Urban,1346.0,1
117.09,255.07,4.61,Forest,2260.0,0
86.13,410.01,14.24,Agriculture,873.0,0
59.41,106.33,2.36,Agriculture,1110.0,0
102.14,321.08,9.87,Agriculture,628.0,0
154.26,33.19,0.24,Agriculture,428.0,1
128.56,179.73,1.37,Barren,504.0,0
70.17,363.96,0.77,Agriculture,47.0,0
126.93,-18.6,0.65,Agriculture,1231.0,1
135.41,388.09,0.46,Urban,1141.0,1
84.65,296.07,2.92,Urban,1212.0,0
126.15,410.5,4.56,Urban,402.0,0
122.33,344.78,2.59,Agriculture,512.0,0
74.28,572.83,0.48,Forest,498.0,0
134.31,325.04,5.0,Forest,1782.0,0
142.43,214.12,3.03,Agriculture,960.0,0
163.32,324.46,1.47,Agriculture,866.0,0
162.15,408.66,3.36,Barren,1435.0,0
64.89,309.77,0.9,Forest,499.0,0
82.49,308.12,1.27,Agriculture,1090.0,0
140.6,159.6,7.48,Urban,2928.0,1
140.55,167.42,1.03,Urban,1975.0,1
140.6,19.48,1.9,Urban,1078.0,1
274.11,649.92,6.63,Forest,891.0,0
142.84,51.23,3.69,Forest,1205.0,0
165.42,161.42,0.19,Agriculture,2160.0,1
158.16,156.32,0.48,Urban,2059.0,1
146.06,478.98,0.02,Agriculture,2404.0,0
107.39,241.01,2.99,Agriculture,1000.0,0
150.36,549.55,1.78,Urban,82.0,1
89.09,165.3,0.43,Forest,2794.0,1
110.53,355.8,9.51,Urban,427.0,0
100.59,132.93,2.26,Agriculture,1418.0,0
123.27,729.03,0.83,Forest,85.0,0
212.59,62.48,2.08,Urban,852.0,1
45.31,361.96,3.41,Urban,643.0,0
147.45,426.76,0.24,Agriculture,2408.0,0
55.49,382.76,0.96,Barren,1088.0,0
101.12,262.94,4.93,Forest,845.0,0
163.56,274.04,1.85,Agriculture,1177.0,1
122.57,308.76,2.37,Agriculture,23.0,0
76.89,270.6,1.7,Barren,489.0,0
91.39,492.78,0.13,Agriculture,556.0,0
147.18,742.1,0.54,Agriculture,1313.0,0
90.79,188.5,1.77,Agriculture,346.0,0
128.66,26.04,0.7,Agriculture,968.0,0
121.82,282.34,0.15,Forest,783.0,0
93.94,815.94,5.57,Forest,513.0,0
205.76,139.27,11.92,Urban,542.0,1
145.36,627.82,4.73,Agriculture,778.0,0
38.99,635.54,5.77,Agriculture,118.0,0
127.46,189.28,0.83,Urban,1448.0,1
93.53,413.8,9.7,Agriculture,424.0,0
154.1,625.68,0.66,Forest,677.0,0
88.3,224.17,9.07,Urban,2350.0,0
115.41,259.28,15.79,Barren,1466.0,0
140.2,183.66,3.73,Urban,289.0,0
154.63,97.05,11.91,Urban,16.0,1
71.99,170.14,2.53,Agriculture,1214.0,0
106.62,55.21,0.9,Agriculture,698.0,0
101.0,306.82,1.72,Urban,973.0,0
93.87,146.01,2.7,Agriculture,1432.0,0
190.62,346.76,0.23,Agriculture,1592.0,1
136.2,-11.18,2.92,Urban,593.0,0
69.56,366.18,11.92,Urban,768.0,0
156.71,466.71,0.63,Agriculture,1114.0,1
204.89,-98.75,4.72,Urban,1167.0,1
161.3,374.81,7.15,Barren,966.0,0
59.23,545.53,8.63,Agriculture,2178.0,0
100.63,58.07,9.67,Barren,1158.0,0
170.68,634.51,2.21,Urban,1417.0,1
91.69,383.8,11.36,Barren,1027.0,0
137.75,159.0,4.25,Forest,343.0,0
150.99,288.85,0.53,Forest,488.0,0
82.92,411.67,1.94,Urban,277.0,0
117.62,315.2,3.8,Urban,1716.0,0
-9.65,407.75,0.85,Agriculture,183.0,0
79.02,115.87,3.07,Forest,743.0,0
109.9,333.87,3.3,Urban,620.0,0
70.09,17.26,0.53,Agriculture,607.0,0
185.3,277.75,2.5,Urban,651.0,0
62.79,119.22,4.43,Agriculture,2454.0,0
102.4,152.89,2.07,Forest,108.0,0
125.23,547.22,0.04,Agriculture,1999.0,0
177.65,518.26,0.03,Agriculture,697.0,0
62.57,421.83,1.32,Forest,1520.0,0
166.53,81.54,7.82,Forest,886.0,0
120.41,236.72,0.78,Forest,306.0,0
80.74,542.62,3.02,Agriculture,2128.0,0
138.48,328.34,0.75,Forest,1911.0,0
127.96,763.87,1.16,Urban,329.0,0
95.99,378.66,5.65,Urban,1280.0,0
122.79,338.41,3.92,Forest,508.0,0
104.59,238.18,0.3,Forest,192.0,0
124.54,326.71,1.68,Agriculture,425.0,0
146.49,269.51,0.09,Urban,2045.0,1
183.44,441.62,1.97,Forest,1546.0,1
70.49,491.34,3.26,Agriculture,657.0,0
205.32,142.8,0.38,Agriculture,2052.0,1
41.92,33.75,1.02,Forest,1814.0,1
113.93,-67.24,1.52,Forest,426.0,0
143.53,401.6,7.56,Forest,2390.0,0
131.24,79.33,15.0,Barren,615.0,0
95.09,-130.58,0.14,Urban,686.0,1
111.68,377.72,4.29,Barren,112.0,0
100.28,798.6,1.39,Agriculture,499.0,0
96.43,298.79,1.5,Agriculture,748.0,0
153.98,467.7,4.21,Urban,1048.0,1
134.28,316.37,7.52,Forest,307.0,0
92.28,280.22,9.04,Forest,443.0,0
155.98,483.82,2.58,Urban,2425.0,1
132.29,241.95,1.33,Agriculture,1733.0,0
152.51,353.48,4.65,Barren,1953.0,0
145.19,364.34,0.87,Agriculture,798.0,0
86.84,166.38,2.49,Agriculture,1071.0,0
97.59,498.41,1.33,Urban,1300.0,1
149.89,265.01,3.21,Forest,2401.0,0
144.41,148.85,0.82,Urban,187.0,1
119.16,407.3,0.64,Agriculture,543.0,0
124.69,120.31,7.51,Barren,1001.0,0
171.11,305.64,0.32,Agriculture,890.0,0
96.34,298.18,2.12,Urban,438.0,0
141.88,517.18,0.75,Forest,1222.0,0
111.91,394.94,0.12,Agriculture,562.0,0
111.29,294.99,0.11,Forest,842.0,0
163.95,463.55,0.58,Agriculture,1183.0,1
153.02,578.04,6.05,Agriculture,584.0,0
152.54,411.56,1.0,Agriculture,1458.0,1
172.22,302.07,9.01,Forest,1646.0,0
120.84,37.63,2.61,Urban,453.0,0
147.28,86.98,1.72,Urban,558.0,1
107.59,238.96,2.6,Forest,352.0,0
132.97,178.1,2.18,Forest,827.0,0
114.79,262.61,4.27,Agriculture,1048.0,0
123.88,311.33,1.0,Agriculture,631.0,0
143.81,405.94,1.31,Urban,1026.0,1
87.27,285.9,6.74,Forest,546.0,0
203.7,397.3,8.78,Urban,561.0,0
79.76,312.89,6.69,Urban,1088.0,0
71.43,-95.09,1.63,Agriculture,592.0,0
166.32,112.13,4.55,Urban,793.0,1
151.67,271.18,1.94,Forest,1116.0,1
144.96,58.06,2.06,Urban,1015.0,1
145.13,419.99,0.69,Agriculture,552.0,0
119.51,606.15,2.68,Agriculture,1761.0,0
84.11,543.75,0.62,Urban,1259.0,1
123.03,257.31,1.21,Agriculture,1001.0,0
92.91,598.15,5.79,Agriculture,309.0,0
159.0,329.73,0.7,Barren,907.0,0
114.12,232.58,0.22,Urban,491.0,0
86.98,177.32,0.21,Agriculture,1195.0,1
107.14,239.51,8.48,Barren,15.0,0
136.52,222.36,2.12,Barren,679.0,0
97.45,334.08,1.58,Agriculture,532.0,0
87.11,332.11,5.0,Agriculture,1462.0,0
129.75,300.61,5.42,Forest,117.0,0
129.8,387.39,1.21,Agriculture,863.0,0
99.72,538.13,3.55,Agriculture,1248.0,0
101.16,489.91,4.42,Agriculture,2698.0,0
129.28,3.02,3.19,Forest,559.0,0
62.08,-210.78,0.49,Agriculture,1061.0,1
63.7,486.86,6.26,Agriculture,127.0,0
91.26,26.62,2.32,Urban,830.0,0
111.46,255.05,1.0,Agriculture,1849.0,0
132.44,65.98,1.66,Agriculture,2715.0,1
179.01,-60.4,0.11,Agriculture,1135.0,1
154.31,408.29,0.41,Forest,175.0,0
113.6,451.83,4.35,Forest,2050.0,0
119.24,184.7,0.0,Barren,177.0,0
79.9,-218.21,1.62,Urban,280.0,1
119.26,190.75,2.22,Agriculture,2167.0,0
108.45,378.36,0.17,Forest,784.0,0
132.91,4.22,10.84,Agriculture,508.0,0
86.91,336.67,0.77,Forest,1371.0,0
140.77,296.94,1.09,Agriculture,944.0,0
181.31,415.86,1.09,Forest,1738.0,1
115.65,323.92,0.79,Urban,977.0,0
136.07,105.39,0.0,Urban,994.0,1
147.61,539.31,3.92,Urban,1696.0,0
103.95,268.29,10.22,Barren,776.0,0
128.96,294.54,0.76,Barren,382.0,0
120.5,113.35,3.26,Forest,1426.0,0
123.91,211.34,4.06,Agriculture,659.0,0
89.08,123.04,5.66,Forest,1036.0,0
120.98,265.41,1.65,Agriculture,95.0,0
139.92,642.34,1.08,Agriculture,751.0,0
178.05,25.62,1.18,Barren,539.0,1
158.37,-22.71,3.74,Forest,91.0,0
206.13,594.23,5.09,Agriculture,770.0,0
89.31,258.14,0.6,Urban,790.0,0
154.89,166.19,1.39,Barren,1091.0,1
127.33,507.98,6.97,Urban,1828.0,0
207.59,178.88,4.93,Agriculture,1633.0,1
87.67,665.2,12.57,Agriculture,571.0,0
86.41,435.59,4.21,Agriculture,959.0,0
96.02,202.42,1.5,Urban,1207.0,1
35.04,731.46,2.68,Barren,585.0,0
98.97,178.86,3.25,Urban,196.0,0
89.63,448.42,0.25,Agriculture,706.0,0
126.02,359.86,2.36,Urban,1880.0,0
133.67,560.35,3.71,Forest,185.0,0
195.05,612.3,0.55,Agriculture,346.0,0
158.02,306.4,4.55,Forest,419.0,0
96.92,149.32,2.63,Urban,349.0,0
84.06,391.99,9.12,Urban,1375.0,0
139.68,164.46,0.13,Forest,489.0,0
67.19,702.68,0.92,Agriculture,1401.0,0
193.26,327.31,2.76,Agriculture,862.0,0
167.18,226.94,1.06,Urban,138.0,1
101.23,336.94,3.76,Forest,596.0,0
51.47,30.57,4.27,Urban,1666.0,1
174.15,105.68,0.32,Urban,937.0,1
115.42,540.08,2.16,Agriculture,634.0,0
169.51,168.62,2.13,Agriculture,1895.0,1
56.22,90.62,1.38,Urban,314.0,1
96.02,407.33,8.11,Urban,505.0,0
120.21,537.14,5.27,Urban,1560.0,0
121.88,443.79,3.58,Agriculture,1355.0,0
102.0,499.21,3.76,Barren,288.0,0
144.91,148.64,1.86,Urban,1177.0,1
77.3,15.64,7.61,Urban,482.0,0
114.3,600.27,3.56,Agriculture,85.0,0
124.81,235.46,3.92,Barren,645.0,0
140.58,249.83,5.93,Forest,2830.0,0
148.46,565.64,0.96,Urban,1686.0,1
75.01,411.25,4.94,Urban,803.0,0
58.64,391.18,0.65,Agriculture,172.0,0
171.11,733.0,1.27,Forest,89.0,0
133.29,171.3,1.23,Urban,864.0,1
90.06,485.57,11.52,Agriculture,1122.0,0
182.05,311.4,5.83,Urban,1386.0,1
124.63,353.72,3.62,Agriculture,1276.0,0
167.17,605.69,3.9,Forest,1354.0,0
122.7,401.57,2.48,Urban,1025.0,0
202.43,407.66,8.82,Agriculture,1868.0,0
190.21,514.5,2.06,Forest,538.0,0
110.04,227.01,1.44,Barren,854.0,0
158.86,132.16,0.53,Agriculture,139.0,1
145.82,91.04,4.63,Urban,528.0,0
174.75,-93.27,3.98,Agriculture,1654.0,1
81.4,711.24,1.46,Urban,1324.0,1
147.44,79.36,0.08,Barren,49.0,0
162.34,255.75,5.48,Forest,2969.0,0
49.65,244.64,0.03,Agriculture,939.0,0
72.67,361.48,3.65,Urban,952.0,0
38.43,463.15,10.55,Forest,499.0,0
109.22,472.09,1.73,Agriculture,599.0,0
148.7,183.38,0.8,Agriculture,931.0,0
180.09,266.58,3.66,Urban,1271.0,1
122.96,356.52,5.1,Urban,1061.0,0
185.14,250.26,2.37,Agriculture,535.0,0
64.8,621.47,10.24,Barren,377.0,0
51.86,398.19,0.16,Urban,353.0,0
117.78,446.98,2.11,Forest,1743.0,0
135.36,432.58,3.8,Forest,1602.0,0
118.69,534.69,5.96,Agriculture,1189.0,0
37.3,336.2,0.59,Urban,1734.0,1
116.44,40.63,4.83,Urban,755.0,0
67.82,379.94,2.41,Agriculture,1508.0,0
146.79,169.73,1.52,Urban,1234.0,1
134.66,194.28,0.42,Forest,1536.0,1
82.4,417.27,6.01,Forest,320.0,0
99.45,547.66,0.51,Forest,1014.0,0
77.63,304.25,1.11,Forest,627.0,0
117.49,361.77,1.03,Agriculture,65.0,0
158.21,640.44,6.15,Urban,1935.0,1
80.57,348.15,3.35,Agriculture,1605.0,0
140.16,820.34,4.78,Agriculture,1081.0,0
98.79,413.1,0.86,Agriculture,399.0,0
88.29,-52.15,2.94,Urban,131.0,0
115.72,450.67,2.54,Urban,64.0,0
78.59,376.23,5.37,Urban,525.0,0
97.85,557.95,7.1,Forest,1368.0,0
72.08,434.64,0.04,Forest,632.0,0
198.59,272.31,3.36,Agriculture,1200.0,0
121.41,55.14,0.16,Urban,1243.0,1
92.01,258.2,2.39,Urban,1354.0,0
128.56,129.9,1.02,Forest,104.0,0
115.51,183.9,1.1,Agriculture,432.0,0
111.16,417.72,1.31,Urban,1184.0,1
144.57,633.98,2.91,Agriculture,2221.0,0
150.3,378.93,1.22,Urban,1818.0,1
98.78,60.82,3.96,Agriculture,1040.0,0
96.97,388.92,1.56,Agriculture,1949.0,0
109.0,539.33,0.21,Urban,1034.0,1
27.92,178.04,4.59,Urban,179.0,0
59.39,273.2,1.01,Forest,1338.0,0
174.67,302.94,1.7,Urban,1860.0,1
185.8,143.02,3.47,Agriculture,2688.0,1
110.04,429.66,1.21,Agriculture,512.0,0
143.06,275.81,0.17,Agriculture,288.0,0
132.45,383.91,1.4,Agriculture,1511.0,0
243.16,122.5,8.67,Forest,1133.0,1
164.78,212.51,3.08,Urban,1060.0,1
114.88,444.48,3.34,Agriculture,1967.0,0
81.78,225.43,3.0,Forest,1507.0,0
55.74,645.39,0.67,Agriculture,1211.0,0
128.14,220.07,1.63,Urban,570.0,0
89.75,344.94,4.17,Urban,1423.0,0
63.11,486.52,0.32,Barren,276.0,0
94.14,16.33,0.98,Urban,1032.0,1
76.74,-52.16,0.97,Barren,812.0,0
187.49,-5.13,1.7,Barren,170.0,1
155.27,552.52,11.79,Agriculture,1135.0,0
119.68,189.63,0.21,Agriculture,513.0,0
179.2,811.64,2.19,Agriculture,1116.0,0
123.09,187.15,0.59,Agriculture,355.0,0
85.55,336.91,10.59,Urban,1518.0,0
180.92,608.42,0.36,Forest,2453.0,1
141.56,701.22,1.55,Agriculture,276.0,0
78.51,712.3,4.02,Forest,355.0,0
112.39,541.67,3.66,Forest,230.0,0
84.98,504.81,1.65,Forest,703.0,0
64.69,418.51,1.28,Agriculture,1103.0,0
157.05,455.67,1.52,Agriculture,1363.0,1
196.38,189.76,0.92,Urban,1017.0,1
64.06,136.36,0.69,Barren,1334.0,1
142.52,299.33,1.98,Agriculture,789.0,0
93.97,265.96,0.94,Agriculture,508.0,0
100.51,209.35,1.02,Agriculture,364.0,0
96.3,439.28,3.21,Agriculture,724.0,0
85.44,491.06,10.38,Urban,372.0,0
121.94,317.68,2.78,Agriculture,1079.0,0
86.76,595.51,0.24,Urban,378.0,0
130.82,71.66,0.24,Agriculture,556.0,0
117.99,261.27,9.07,Barren,1737.0,0
110.44,156.64,1.06,Urban,1851.0,1
83.7,-73.31,0.29,Urban,1812.0,1
96.93,283.46,2.74,Agriculture,800.0,0
150.22,275.65,2.93,Urban,526.0,0
140.04,602.69,3.14,Agriculture,1200.0,0
80.9,426.16,0.93,Urban,385.0,0
123.97,95.16,0.05,Urban,1410.0,1
150.06,670.82,10.06,Barren,486.0,0
53.22,544.21,0.87,Agriculture,700.0,0
141.73,416.42,3.38,Agriculture,1432.0,0
93.5,254.7,3.68,Forest,124.0,0
142.82,108.11,2.82,Agriculture,504.0,0
89.47,225.56,1.13,Agriculture,1096.0,0
47.8,517.75,0.95,Agriculture,1270.0,0
54.9,676.92,2.73,Agriculture,1127.0,0
121.92,608.65,6.03,Agriculture,693.0,0
130.39,202.23,8.8,Forest,1533.0,0
83.83,76.08,0.34,Urban,352.0,1
145.54,328.18,0.5,Agriculture,338.0,0
53.54,-53.69,8.69,Urban,1088.0,1
117.36,364.63,4.0,Agriculture,316.0,0
71.56,270.48,6.44,Urban,2508.0,0
93.93,206.79,0.68,Agriculture,517.0,0
121.9,-18.94,2.66,Agriculture,1514.0,0
85.58,402.72,3.62,Urban,265.0,0
104.62,193.46,3.42,Urban,2166.0,1
160.25,66.02,1.57,Urban,843.0,1
96.92,-274.45,0.05,Agriculture,505.0,0
153.43,294.5,2.62,Agriculture,655.0,0
74.81,654.45,0.88,Urban,437.0,0
141.19,632.25,1.79,Agriculture,698.0,0
177.66,208.58,9.48,Forest,281.0,0
21.13,179.56,1.53,Forest,519.0,0
88.12,393.75,5.49,Barren,1494.0,0
143.08,100.32,0.63,Forest,976.0,0
111.88,360.36,3.35,Forest,346.0,0
134.85,453.22,11.32,Urban,718.0,0
95.84,545.39,0.32,Urban,1865.0,1
123.46,279.97,0.03,Urban,570.0,0
113.77,259.27,1.71,Urban,313.0,0
166.71,124.4,0.29,Agriculture,1238.0,1
130.18,134.62,4.14,Forest,71.0,0
133.5,254.7,7.38,Agriculture,667.0,0
103.52,373.47,1.71,Urban,1976.0,1
100.5,482.72,0.9,Urban,702.0,0
102.7,139.36,1.71,Agriculture,1597.0,1
135.78,598.54,3.86,Barren,308.0,0
103.16,245.78,0.03,Urban,680.0,0
131.59,295.73,2.67,Agriculture,630.0,0
203.02,150.56,2.85,Agriculture,1191.0,1
154.84,-184.85,3.05,Agriculture,878.0,0
106.96,476.81,0.83,Agriculture,2154.0,0
168.05,447.37,3.76,Urban,544.0,0
103.68,243.73,0.29,Urban,870.0,0
38.48,313.4,0.67,Agriculture,649.0,0
79.68,403.19,6.3,Forest,823.0,0
45.17,-12.51,4.03,Barren,767.0,0
105.94,194.19,0.04,Forest,382.0,0
120.74,458.85,0.86,Urban,1437.0,1
187.06,49.14,0.72,Agriculture,473.0,1
133.08,358.71,0.95,Urban,444.0,0
111.24,28.68,0.85,Agriculture,181.0,0
153.18,393.29,0.19,Agriculture,531.0,0
31.55,292.87,1.84,Barren,467.0,0
129.42,-23.03,3.96,Agriculture,92.0,0
150.83,532.95,2.8,Agriculture,696.0,0
60.86,153.08,3.35,Agriculture,2090.0,0
165.75,137.95,0.25,Barren,219.0,1
133.54,340.11,9.08,Urban,811.0,0
103.39,529.73,5.47,Urban,683.0,0
145.31,96.84,4.91,Urban,1307.0,1
210.83,312.34,5.19,Urban,1375.0,1
127.27,385.76,8.1,Agriculture,3142.0,0
129.93,438.62,2.36,Agriculture,1002.0,0
101.63,335.29,0.67,Agriculture,415.0,0
86.01,226.59,2.88,Urban,519.0,0
153.21,134.48,4.07,Agriculture,565.0,0
85.76,317.23,4.02,Forest,484.0,0
122.86,85.57,2.21,Agriculture,2437.0,0
100.89,-284.27,0.21,Agriculture,1329.0,1
139.16,387.31,1.39,Forest,1183.0,0
133.35,480.79,7.61,Urban,321.0,0
161.5,-172.59,2.63,Urban,1365.0,1
99.6,98.05,2.32,Agriculture,1770.0,0
109.21,423.83,0.94,Barren,693.0,0
